,Protein ID (canonical),Gene names,Compartment
0,O14639,ABLIM1,Actin binding proteins
1,P60709,ACTB,Actin binding proteins
2,P63261,ACTG1,Actin binding proteins
3,P12814,ACTN1,Actin binding proteins
4,O43707,ACTN4,Actin binding proteins
5,Q05682,CALD1,Actin binding proteins
6,Q9BR76,CORO1B,Actin binding proteins
7,Q9ULV4,CORO1C,Actin binding proteins
8,Q92828,CORO2A,Actin binding proteins
9,Q14247,CTTN,Actin binding proteins
10,Q16643,DBN1,Actin binding proteins
11,P21333,FLNA,Actin binding proteins
12,O75369,FLNB,Actin binding proteins
13,Q9UPQ0,LIMCH1,Actin binding proteins
14,Q8WWI1,LMO7,Actin binding proteins
15,Q6WCQ1,MPRIP,Actin binding proteins
16,P35580,MYH10,Actin binding proteins
17,P35579,MYH9,Actin binding proteins
18,O14950,MYL12B,Actin binding proteins
19,P60660,MYL6,Actin binding proteins
20,Q8WX93,PALLD,Actin binding proteins
21,Q9NR12,PDLIM7,Actin binding proteins
22,Q14651,PLS1,Actin binding proteins
23,P13797,PLS3,Actin binding proteins
24,Q6NYC8,PPP1R18,Actin binding proteins
25,Q96SB3,PPP1R9B,Actin binding proteins
26,Q9P0K7,RAI14,Actin binding proteins
27,O94875,SORBS2,Actin binding proteins
28,Q13813,SPTAN1,Actin binding proteins
29,Q01082,SPTBN1,Actin binding proteins
30,O15020,SPTBN2,Actin binding proteins
31,Q9Y490,TLN1,Actin binding proteins
32,Q9HBL0,TNS1,Actin binding proteins
33,P46939,UTRN,Actin binding proteins
34,Q9P2R3,ANKFY1,Endosome
35,O00203,AP3B1,Endosome
36,O14617,AP3D1,Endosome
37,Q9Y2T2,AP3M1,Endosome
38,P05067,APP,Endosome
39,Q96BM9,ARL8A,Endosome
40,Q9NVJ2,ARL8B,Endosome
41,Q7Z3C6,ATG9A,Endosome
42,Q15904,ATP6AP1,Endosome
43,Q93050,ATP6V0A1,Endosome
44,Q9Y487,ATP6V0A2,Endosome
45,Q9HBG4,ATP6V0A4,Endosome
46,P61421,ATP6V0D1,Endosome
47,P38606,ATP6V1A,Endosome
48,P21281,ATP6V1B2,Endosome
49,P21283,ATP6V1C1,Endosome
50,P36543,ATP6V1E1,Endosome
51,O75348,ATP6V1G1,Endosome
52,Q9UI12,ATP6V1H,Endosome
53,P78537,BLOC1S1,Endosome
54,Q6QNY1,BLOC1S2,Endosome
55,Q6QNY0,BLOC1S3,Endosome
56,P86791,CCZ1,Endosome
57,P51790,CLCN3,Endosome
58,O75165,DNAJC13,Endosome
59,Q15075,EEA1,Endosome
60,Q9H4M9,EHD1,Endosome
61,Q9H223,EHD4,Endosome
62,Q641Q2,FAM21A,Endosome
63,O14964,HGS,Endosome
64,P11717,IGF2R,Endosome
65,Q12768,KIAA0196,Endosome
66,Q2M389,KIAA1033,Endosome
67,P20645,M6PR,Endosome
68,Q7L1V2,MON1B,Endosome
69,Q01968,OCRL,Endosome
70,Q15907,RAB11B,Endosome
71,Q6WKZ4,RAB11FIP1,Endosome
72,Q9BXF6,RAB11FIP5,Endosome
73,P61106,RAB14,Endosome
74,Q9H0T7,RAB17,Endosome
75,P20338,RAB4A,Endosome
76,P51151,RAB9A,Endosome
77,O15126,SCAMP1,Endosome
78,O15127,SCAMP2,Endosome
79,O14828,SCAMP3,Endosome
80,Q6P3W7,SCYL2,Endosome
81,O95295,SNAPIN,Endosome
82,Q13596,SNX1,Endosome
83,O60749,SNX2,Endosome
84,Q96L92,SNX27,Endosome
85,O60493,SNX3,Endosome
86,Q5VWJ9,SNX30,Endosome
87,O95219,SNX4,Endosome
88,Q9Y5X3,SNX5,Endosome
89,Q9UNH7,SNX6,Endosome
90,Q9Y5X2,SNX8,Endosome
91,Q99523,SORT1,Endosome
92,Q92783,STAM,Endosome
93,O75886,STAM2,Endosome
94,O60499,STX10,Endosome
95,Q86Y82,STX12,Endosome
96,O14662,STX16,Endosome
97,O43752,STX6,Endosome
98,O15400,STX7,Endosome
99,Q9UNK0,STX8,Endosome
100,Q92609,TBC1D5,Endosome
101,P02786,TFRC,Endosome
102,Q08AM6,VAC14,Endosome
103,P51809,VAMP7,Endosome
104,Q9BV40,VAMP8,Endosome
105,Q9H270,VPS11,Endosome
106,Q9H269,VPS16,Endosome
107,Q9P253,VPS18,Endosome
108,O75436,VPS26A,Endosome
109,Q4G0F5,VPS26B,Endosome
110,Q9UBQ0,VPS29,Endosome
111,Q96AX1,VPS33A,Endosome
112,Q96QK1,VPS35,Endosome
113,Q96JC1,VPS39,Endosome
114,P49754,VPS41,Endosome
115,Q9NRW7,VPS45,Endosome
116,Q96AJ9,VTI1A,Endosome
117,Q9UEU0,VTI1B,Endosome
118,Q8IWB7,WDFY1,Endosome
119,P27797,CALR,ER
120,Q6UWW8,CES3,ER
121,Q99715,COL12A1,ER
122,Q8NBJ5,COLGALT1,ER
123,Q9UBS4,DNAJB11,ER
124,Q8IXB1,DNAJC10,ER
125,Q9BZQ6,EDEM3,ER
126,Q5NDL2,EOGT,ER
127,Q96DZ1,ERLEC1,ER
128,P30040,ERP29,ER
129,Q96AY3,FKBP10,ER
130,Q9NWM8,FKBP14,ER
131,O95302,FKBP9,ER
132,Q14697,GANAB,ER
133,P14625,HSP90B1,ER
134,P11021,HSPA5,ER
135,Q9Y4L1,HYOU1,ER
136,Q6UW63,KDELC1,ER
137,Q7Z4H8,KDELC2,ER
138,Q32P28,LEPRE1,ER
139,Q8IVL5,LEPREL1,ER
140,Q08380,LGALS3BP,ER
141,Q9UNW1,MINPP1,ER
142,P13674,P4HA1,ER
143,O15460,P4HA2,ER
144,P07237,P4HB,ER
145,P30101,PDIA3,ER
146,P13667,PDIA4,ER
147,Q14554,PDIA5,ER
148,Q15084,PDIA6,ER
149,Q02809,PLOD1,ER
150,O00469,PLOD2,ER
151,O60568,PLOD3,ER
152,Q9H488,POFUT1,ER
153,Q8NBL1,POGLUT1,ER
154,P23284,PPIB,ER
155,Q92626,PXDN,ER
156,Q14257,RCN2,ER
157,Q96D15,RCN3,ER
158,Q9HCN8,SDF2L1,ER
159,O60613,42628,ER
160,P50454,SERPINH1,ER
161,Q9H173,SIL1,ER
162,Q8NBJ7,SUMF2,ER
163,O14657,TOR1B,ER
164,Q9H497,TOR3A,ER
165,O95881,TXNDC12,ER
166,Q8NBS9,TXNDC5,ER
167,Q9NYU2,UGGT1,ER
168,P51648,ALDH3A2,ER
169,Q12797,ASPH,ER
170,P18850,ATF6,ER
171,Q9HD20,ATP13A1,ER
172,P16615,ATP2A2,ER
173,Q6Y288,B3GALTL,ER
174,Q9UHQ4,BCAP29,ER
175,P27824,CANX,ER
176,P39656,DDOST,ER
177,P07099,EPHX1,ER
178,O75477,ERLIN1,ER
179,O94905,ERLIN2,ER
180,Q7Z2K6,ERMP1,ER
181,P37268,FDFT1,ER
182,Q8TED1,GPX8,ER
183,Q6Y1H2,HACD2,ER
184,Q9P035,HACD3,ER
185,Q8TCT9,HM13,ER
186,Q53GQ0,HSD17B12,ER
187,Q14643,ITPR1,ER
188,Q14571,ITPR2,ER
189,Q14573,ITPR3,ER
190,Q6UWP7,LCLAT1,ER
191,P30533,LRPAP1,ER
192,P48449,LSS,ER
193,Q5JRA6,MIA3,ER
194,Q14165,MLEC,ER
195,Q13724,MOGS,ER
196,A2RRP1,NBAS,ER
197,Q969V3,NCLN,ER
198,Q9NRP0,OSTC,ER
199,O00264,PGRMC1,ER
200,Q92643,PIGK,ER
201,Q8TEQ8,PIGO,ER
202,Q96S52,PIGS,ER
203,Q969N2,PIGT,ER
204,Q9H490,PIGU,ER
205,P16435,POR,ER
206,Q8TC12,RDH11,ER
207,Q6NUM9,RETSAT,ER
208,P04843,RPN1,ER
209,P04844,RPN2,ER
210,Q9P2E9,RRBP1,ER
211,Q9NTJ5,SACM1L,ER
212,O00767,SCD,ER
213,P67812,SEC11A,ER
214,P61619,SEC61A1,ER
215,P60468,SEC61B,ER
216,P60059,SEC61G,ER
217,Q99442,SEC62,ER
218,Q9UGP8,SEC63,ER
219,Q9UBV2,SEL1L,ER
220,O14975,SLC27A2,ER
221,Q14BN4,SLMAP,ER
222,P35610,SOAT1,ER
223,Q15005,SPCS2,ER
224,O15269,SPTLC1,ER
225,O15270,SPTLC2,ER
226,P61011,SRP54,ER
227,Q9UHB9,SRP68,ER
228,O76094,SRP72,ER
229,P08240,SRPR,ER
230,Q9Y5M8,SRPRB,ER
231,P51571,SSR4,ER
232,P46977,STT3A,ER
233,Q8TCJ2,STT3B,ER
234,Q03518,TAP1,ER
235,Q03519,TAP2,ER
236,O15533,TAPBP,ER
237,Q9NZ01,TECR,ER
238,P55061,TMBIM6,ER
239,P57088,TMEM33,ER
240,Q96JJ7,TMX3,ER
241,Q8NFQ8,TOR1AIP2,ER
242,Q15629,TRAM1,ER
243,Q92575,UBXN4,ER
244,Q9P0L0,VAPA,ER
245,O95292,VAPB,ER
257,O15155,BET1,Ergic/cisGolgi
258,Q969X5,ERGIC1,Ergic/cisGolgi
259,Q96RQ1,ERGIC2,Ergic/cisGolgi
260,Q9Y282,ERGIC3,Ergic/cisGolgi
261,Q9BS26,ERP44,Ergic/cisGolgi
262,Q9Y3E0,GOLT1B,Ergic/cisGolgi
263,O14653,GOSR2,Ergic/cisGolgi
264,P24390,KDELR1,Ergic/cisGolgi
265,P49257,LMAN1,Ergic/cisGolgi
266,Q12907,LMAN2,Ergic/cisGolgi
267,Q9H0V9,LMAN2L,Ergic/cisGolgi
268,Q8NI22,MCFD2,Ergic/cisGolgi
269,P61019,RAB2A,Ergic/cisGolgi
270,Q8WUD1,RAB2B,Ergic/cisGolgi
271,O15258,RER1,Ergic/cisGolgi
272,Q13190,STX5,Ergic/cisGolgi
273,O15260,SURF4,Ergic/cisGolgi
274,Q13445,TMED1,Ergic/cisGolgi
275,P49755,TMED10,Ergic/cisGolgi
276,Q15363,TMED2,Ergic/cisGolgi
277,Q9Y3Q3,TMED3,Ergic/cisGolgi
278,Q7Z7H5,TMED4,Ergic/cisGolgi
279,Q9Y3A6,TMED5,Ergic/cisGolgi
280,Q9Y3B3,TMED7,Ergic/cisGolgi
281,Q9BVK6,TMED9,Ergic/cisGolgi
282,Q969M3,YIPF5,Ergic/cisGolgi
283,P84077,ARF1,Golgi
284,P40616,ARL1,Golgi
285,P98194,ATP2C1,Golgi
286,O94766,B3GAT3,Golgi
287,P15291,B4GALT1,Golgi
288,O60513,B4GALT4,Golgi
289,O43286,B4GALT5,Golgi
290,Q14746,COG2,Golgi
291,Q9H9E3,COG4,Golgi
292,Q9UP83,COG5,Golgi
293,O75063,FAM20B,Golgi
294,Q10472,GALNT1,Golgi
295,Q10471,GALNT2,Golgi
296,Q8NCL4,GALNT6,Golgi
297,Q86SF2,GALNT7,Golgi
298,Q8IWJ2,GCC2,Golgi
299,Q92896,GLG1,Golgi
300,Q08379,GOLGA2,Golgi
301,Q08378,GOLGA3,Golgi
302,Q13439,GOLGA4,Golgi
303,Q8TBA6,GOLGA5,Golgi
304,Q14789,GOLGB1,Golgi
305,O00461,GOLIM4,Golgi
306,Q8NBJ4,GOLM1,Golgi
307,Q9H8Y8,GORASP2,Golgi
308,O95249,GOSR1,Golgi
309,Q7LGA3,HS2ST1,Golgi
310,Q16706,MAN2A1,Golgi
311,Q10469,MGAT2,Golgi
312,Q9BRK5,SDF4,Golgi
313,Q8TB61,SLC35B2,Golgi
314,Q15643,TRIP11,Golgi
315,Q8NBZ7,UXS1,Golgi
625,P11117,ACP2,Lysosome
626,P15848,ARSB,Lysosome
627,Q13510,ASAH1,Lysosome
628,P51798,CLCN7,Lysosome
629,O75629,CREG1,Lysosome
630,P10619,CTSA,Lysosome
631,P07858,CTSB,Lysosome
632,P53634,CTSC,Lysosome
633,P07339,CTSD,Lysosome
634,P07711,CTSL,Lysosome
635,Q9UBR2,CTSZ,Lysosome
636,O00115,DNASE2,Lysosome
637,P10253,GAA,Lysosome
638,P04062,GBA,Lysosome
639,Q92820,GGH,Lysosome
640,P06280,GLA,Lysosome
641,P16278,GLB1,Lysosome
642,Q8WWB7,GLMP,Lysosome
643,P15586,GNS,Lysosome
644,P06865,HEXA,Lysosome
645,P07686,HEXB,Lysosome
646,P13284,IFI30,Lysosome
647,P11279,LAMP1,Lysosome
648,P13473,LAMP2,Lysosome
649,Q6IAA8,LAMTOR1,Lysosome
650,Q9Y2Q5,LAMTOR2,Lysosome
651,Q9UHA4,LAMTOR3,Lysosome
652,Q0VGL1,LAMTOR4,Lysosome
653,O43504,LAMTOR5,Lysosome
654,P38571,LIPA,Lysosome
655,O00754,MAN2B1,Lysosome
656,P17050,NAGA,Lysosome
657,P54802,NAGLU,Lysosome
658,Q99519,NEU1,Lysosome
659,O15118,NPC1,Lysosome
660,P61916,NPC2,Lysosome
661,Q8NHP8,PLBD2,Lysosome
662,P50897,PPT1,Lysosome
663,P42785,PRCP,Lysosome
664,P07602,PSAP,Lysosome
665,Q14108,SCARB2,Lysosome
666,Q9HAT2,SIAE,Lysosome
667,O14773,TPP1,Lysosome
668,P25705,ATP5A1,Mitochondrion
669,P06576,ATP5B,Mitochondrion
670,P36542,ATP5C1,Mitochondrion
671,P24539,ATP5F1,Mitochondrion
672,O75947,ATP5H,Mitochondrion
673,P56385,ATP5I,Mitochondrion
674,O75964,ATP5L,Mitochondrion
675,P48047,ATP5O,Mitochondrion
676,Q9NX63,CHCHD3,Mitochondrion
677,Q9Y2R0,COA3,Mitochondrion
678,P13073,COX4I1,Mitochondrion
679,P20674,COX5A,Mitochondrion
680,P09669,COX6C,Mitochondrion
681,P15954,COX7C,Mitochondrion
682,Q9Y5T4,DNAJC15,Mitochondrion
683,P53701,HCCS,Mitochondrion
684,Q16891,IMMT,Mitochondrion
685,O95202,LETM1,Mitochondrion
686,P00403,MT-CO2,Mitochondrion
687,Q9BU61,NDUFAF3,Mitochondrion
688,Q9NX14,NDUFB11,Mitochondrion
689,O43676,NDUFB3,Mitochondrion
690,O43674,NDUFB5,Mitochondrion
691,P28331,NDUFS1,Mitochondrion
692,P19404,NDUFV2,Mitochondrion
693,Q15070,OXA1L,Mitochondrion
694,P35232,PHB,Mitochondrion
695,P21912,SDHB,Mitochondrion
696,P53007,SLC25A1,Mitochondrion
697,Q9UBX3,SLC25A10,Mitochondrion
698,Q02978,SLC25A11,Mitochondrion
699,Q9UJS0,SLC25A13,Mitochondrion
700,Q9H936,SLC25A22,Mitochondrion
701,Q6NUK1,SLC25A24,Mitochondrion
702,Q00325,SLC25A3,Mitochondrion
703,P05141,SLC25A5,Mitochondrion
704,P12236,SLC25A6,Mitochondrion
705,Q9BVV7,TIMM21,Mitochondrion
706,O14925,TIMM23,Mitochondrion
707,Q3ZCQ8,TIMM50,Mitochondrion
708,Q9BUB7,TMEM70,Mitochondrion
709,P14927,UQCRB,Mitochondrion
710,P31930,UQCRC1,Mitochondrion
711,P22695,UQCRC2,Mitochondrion
712,O14949,UQCRQ,Mitochondrion
713,Q96TA2,YME1L1,Mitochondrion
714,Q9NPJ3,ACOT13,Mitochondrion
715,P30038,ALDH4A1,Mitochondrion
716,Q16775,HAGH,Mitochondrion
717,Q5JTZ9,AARS2,Mitochondrion
718,P11310,ACADM,Mitochondrion
719,P45954,ACADSB,Mitochondrion
720,P24752,ACAT1,Mitochondrion
721,P54819,AK2,Mitochondrion
722,P27144,AK4,Mitochondrion
