,Protein ID (canonical),Gene names,Compartment
723,P30837,ALDH1B1,Mitochondrion
724,P51649,ALDH5A1,Mitochondrion
725,P49419,ALDH7A1,Mitochondrion
726,Q8NCW5,APOA1BP,Mitochondrion
727,Q9UII2,ATPIF1,Mitochondrion
728,P12694,BCKDHA,Mitochondrion
729,P21953,BCKDHB,Mitochondrion
730,Q9HA77,CARS2,Mitochondrion
731,Q16740,CLPP,Mitochondrion
732,O76031,CLPX,Mitochondrion
733,Q96BR5,COA7,Mitochondrion
734,P31327,CPS1,Mitochondrion
735,O75390,CS,Mitochondrion
736,P99999,CYCS,Mitochondrion
737,P51398,DAP3,Mitochondrion
738,Q6PI48,DARS2,Mitochondrion
739,P11182,DBT,Mitochondrion
740,P10515,DLAT,Mitochondrion
741,P09622,DLD,Mitochondrion
742,P36957,DLST,Mitochondrion
743,Q96EY1,DNAJA3,Mitochondrion
744,P23919,DTYMK,Mitochondrion
745,Q5JPH6,EARS2,Mitochondrion
746,P30084,ECHS1,Mitochondrion
747,P42126,ECI1,Mitochondrion
748,Q9BQ52,ELAC2,Mitochondrion
749,P13804,ETFA,Mitochondrion
750,P38117,ETFB,Mitochondrion
751,O95363,FARS2,Mitochondrion
752,P10109,FDX1,Mitochondrion
753,P22570,FDXR,Mitochondrion
754,P07954,FH,Mitochondrion
755,Q92947,GCDH,Mitochondrion
756,P00367,GLUD1,Mitochondrion
757,P00505,GOT2,Mitochondrion
758,Q9HAV7,GRPEL1,Mitochondrion
759,Q8TAA5,GRPEL2,Mitochondrion
760,P00390,GSR,Mitochondrion
761,Q16836,HADH,Mitochondrion
762,P49590,HARS2,Mitochondrion
763,Q92506,HSD17B8,Mitochondrion
764,P38646,HSPA9,Mitochondrion
765,P10809,HSPD1,Mitochondrion
766,P61604,HSPE1,Mitochondrion
767,Q9NSE4,IARS2,Mitochondrion
768,O43837,IDH3B,Mitochondrion
769,P26440,IVD,Mitochondrion
770,O15091,KIAA0391,Mitochondrion
771,P83111,LACTB,Mitochondrion
772,Q15031,LARS2,Mitochondrion
773,P36776,LONP1,Mitochondrion
774,Q5U5X0,LYRM7,Mitochondrion
775,Q96EH3,MALSU1,Mitochondrion
776,Q8IVS2,MCAT,Mitochondrion
777,Q96RQ3,MCCC1,Mitochondrion
778,Q9HCC0,MCCC2,Mitochondrion
779,P40926,MDH2,Mitochondrion
780,P23368,ME2,Mitochondrion
781,Q8IYU8,MICU2,Mitochondrion
782,Q99797,MIPEP,Mitochondrion
783,Q96EY8,MMAB,Mitochondrion
784,Q9BYD6,MRPL1,Mitochondrion
785,Q7Z7H8,MRPL10,Mitochondrion
786,Q9Y3B7,MRPL11,Mitochondrion
787,Q9BYD1,MRPL13,Mitochondrion
788,Q6P1L8,MRPL14,Mitochondrion
789,Q9P015,MRPL15,Mitochondrion
790,Q9NX20,MRPL16,Mitochondrion
791,Q9NRX2,MRPL17,Mitochondrion
792,Q9H0U6,MRPL18,Mitochondrion
793,P49406,MRPL19,Mitochondrion
794,Q5T653,MRPL2,Mitochondrion
795,Q9BYC9,MRPL20,Mitochondrion
796,Q7Z2W9,MRPL21,Mitochondrion
797,Q9NWU5,MRPL22,Mitochondrion
798,Q16540,MRPL23,Mitochondrion
799,Q96A35,MRPL24,Mitochondrion
800,Q9P0M9,MRPL27,Mitochondrion
801,Q13084,MRPL28,Mitochondrion
802,P09001,MRPL3,Mitochondrion
803,Q8TCC3,MRPL30,Mitochondrion
804,Q9BYC8,MRPL32,Mitochondrion
805,Q9BZE1,MRPL37,Mitochondrion
806,Q96DV4,MRPL38,Mitochondrion
807,Q9NYK5,MRPL39,Mitochondrion
808,Q9BYD3,MRPL4,Mitochondrion
809,Q8IXM3,MRPL41,Mitochondrion
810,Q8N983,MRPL43,Mitochondrion
811,Q9H9J2,MRPL44,Mitochondrion
812,Q9BRJ2,MRPL45,Mitochondrion
813,Q9H2W6,MRPL46,Mitochondrion
814,Q9HD33,MRPL47,Mitochondrion
815,Q96GC5,MRPL48,Mitochondrion
816,Q13405,MRPL49,Mitochondrion
817,Q8N5N7,MRPL50,Mitochondrion
818,Q96EL3,MRPL53,Mitochondrion
819,Q7Z7F7,MRPL55,Mitochondrion
820,Q9BYD2,MRPL9,Mitochondrion
821,P82664,MRPS10,Mitochondrion
822,P82912,MRPS11,Mitochondrion
823,O15235,MRPS12,Mitochondrion
824,O60783,MRPS14,Mitochondrion
825,P82914,MRPS15,Mitochondrion
826,Q9Y3D3,MRPS16,Mitochondrion
827,Q9Y2R5,MRPS17,Mitochondrion
828,Q9NVS2,MRPS18A,Mitochondrion
829,Q9Y676,MRPS18B,Mitochondrion
830,Q9Y399,MRPS2,Mitochondrion
831,P82650,MRPS22,Mitochondrion
832,Q9Y3D9,MRPS23,Mitochondrion
833,Q96EL2,MRPS24,Mitochondrion
834,P82663,MRPS25,Mitochondrion
835,Q9BYN8,MRPS26,Mitochondrion
836,Q92552,MRPS27,Mitochondrion
837,Q9Y2Q9,MRPS28,Mitochondrion
838,Q9NP92,MRPS30,Mitochondrion
839,Q92665,MRPS31,Mitochondrion
840,P82930,MRPS34,Mitochondrion
841,P82673,MRPS35,Mitochondrion
842,P82909,MRPS36,Mitochondrion
843,P82675,MRPS5,Mitochondrion
844,P82932,MRPS6,Mitochondrion
845,Q9Y2R9,MRPS7,Mitochondrion
846,P82933,MRPS9,Mitochondrion
847,Q6UB35,MTHFD1L,Mitochondrion
848,P22033,MUT,Mitochondrion
849,Q96I59,NARS2,Mitochondrion
850,O95299,NDUFA10,Mitochondrion
851,Q16795,NDUFA9,Mitochondrion
852,Q9BYT8,NLN,Mitochondrion
853,P04181,OAT,Mitochondrion
854,Q02218,OGDH,Mitochondrion
855,P55809,OXCT1,Mitochondrion
856,P11498,PC,Mitochondrion
857,Q6L8Q7,PDE12,Mitochondrion
858,P08559,PDHA1,Mitochondrion
859,P11177,PDHB,Mitochondrion
860,O00330,PDHX,Mitochondrion
861,Q9P0J1,PDP1,Mitochondrion
862,Q8NCN5,PDPR,Mitochondrion
863,Q5JRX3,PITRM1,Mitochondrion
864,Q10713,PMPCA,Mitochondrion
865,O75439,PMPCB,Mitochondrion
866,Q8TCS8,PNPT1,Mitochondrion
867,P54098,POLG,Mitochondrion
868,O00411,POLRMT,Mitochondrion
869,Q9H2U2,PPA2,Mitochondrion
870,P30405,PPIF,Mitochondrion
871,P32322,PYCR1,Mitochondrion
872,Q9HC36,RNMTL1,Mitochondrion
873,Q9NP81,SARS2,Mitochondrion
874,Q9NX18,SDHAF2,Mitochondrion
875,P34897,SHMT2,Mitochondrion
876,P04179,SOD2,Mitochondrion
877,Q04837,SSBP1,Mitochondrion
878,Q9P2R7,SUCLA2,Mitochondrion
879,P53597,SUCLG1,Mitochondrion
880,Q96I99,SUCLG2,Mitochondrion
881,Q8IYB8,SUPV3L1,Mitochondrion
882,Q9BW92,TARS2,Mitochondrion
883,Q00059,TFAM,Mitochondrion
884,Q9H5Q4,TFB2M,Mitochondrion
885,Q12931,TRAP1,Mitochondrion
886,Q7L0Y3,TRMT10C,Mitochondrion
887,Q16762,TST,Mitochondrion
888,Q9UGM6,WARS2,Mitochondrion
889,Q9Y2Z4,YARS2,Mitochondrion
890,Q92667,AKAP1,Mitochondrion
891,Q9NZ45,CISD1,Mitochondrion
892,P50416,CPT1A,Mitochondrion
893,Q5VT66,42430,Mitochondrion
894,Q969Z3,42431,Mitochondrion
895,Q7Z434,MAVS,Mitochondrion
896,Q9GZY8,MFF,Mitochondrion
897,Q8IWA4,MFN1,Mitochondrion
898,O95140,MFN2,Mitochondrion
899,Q9NZJ7,MTCH1,Mitochondrion
900,Q9Y6C9,MTCH2,Mitochondrion
901,Q8IXI2,RHOT1,Mitochondrion
902,Q8IXI1,RHOT2,Mitochondrion
903,Q9NS69,TOMM22,Mitochondrion
904,O96008,TOMM40,Mitochondrion
905,Q8N4H5,TOMM5,Mitochondrion
906,O94826,TOMM70A,Mitochondrion
907,P21796,VDAC1,Mitochondrion
908,P45880,VDAC2,Mitochondrion
909,Q9Y277,VDAC3,Mitochondrion
928,P33897,ABCD1,Peroxisome
929,P28288,ABCD3,Peroxisome
930,P09110,ACAA1,Peroxisome
931,Q5T8D3,ACBD5,Peroxisome
932,O14734,ACOT8,Peroxisome
933,Q15067,ACOX1,Peroxisome
934,O00116,AGPS,Peroxisome
935,P04040,CAT,Peroxisome
936,Q9NUI1,DECR2,Peroxisome
937,Q8WVX9,FAR1,Peroxisome
938,O15228,GNPAT,Peroxisome
939,Q9UJ83,HACL1,Peroxisome
940,P51659,HSD17B4,Peroxisome
941,O43933,PEX1,Peroxisome
942,O96011,PEX11B,Peroxisome
943,Q92968,PEX13,Peroxisome
944,O75381,PEX14,Peroxisome
945,P56589,PEX3,Peroxisome
946,Q13608,PEX6,Peroxisome
947,O43808,SLC25A17,Peroxisome
948,Q2T9J0,TYSND1,Peroxisome
949,P08183,ABCB1,Plasma membrane
950,Q92887,ABCC2,Plasma membrane
951,P78536,ADAM17,Plasma membrane
952,Q13443,ADAM9,Plasma membrane
953,P05187,ALPP,Plasma membrane
954,Q4KMQ2,ANO6,Plasma membrane
955,Q9H6X2,ANTXR1,Plasma membrane
956,O95782,AP2A1,Plasma membrane
957,O94973,AP2A2,Plasma membrane
958,Q96CW1,AP2M1,Plasma membrane
959,P53680,AP2S1,Plasma membrane
960,P05023,ATP1A1,Plasma membrane
961,P05026,ATP1B1,Plasma membrane
962,P54709,ATP1B3,Plasma membrane
963,P20020,ATP2B1,Plasma membrane
964,Q16720,ATP2B3,Plasma membrane
965,P23634,ATP2B4,Plasma membrane
966,P30530,AXL,Plasma membrane
967,P80723,BASP1,Plasma membrane
968,P50895,BCAM,Plasma membrane
969,P35613,BSG,Plasma membrane
970,Q9BY67,CADM1,Plasma membrane
971,Q6YHK3,CD109,Plasma membrane
972,P16070,CD44,Plasma membrane
973,P15529,CD46,Plasma membrane
974,Q08722,CD47,Plasma membrane
975,P08174,CD55,Plasma membrane
976,P19256,CD58,Plasma membrane
977,P13987,CD59,Plasma membrane
978,P21926,CD9,Plasma membrane
979,P48960,CD97,Plasma membrane
980,P14209,CD99,Plasma membrane
981,Q9Y6N8,CDH10,Plasma membrane
982,Q9H6B4,CLMP,Plasma membrane
983,Q9H8M5,CNNM2,Plasma membrane
984,Q8NE01,CNNM3,Plasma membrane
985,P14384,CPM,Plasma membrane
986,Q6UVK1,CSPG4,Plasma membrane
987,P78310,CXADR,Plasma membrane
988,P98082,DAB2,Plasma membrane
989,Q14118,DAG1,Plasma membrane
990,Q08345,DDR1,Plasma membrane
991,Q16832,DDR2,Plasma membrane
992,P11532,DMD,Plasma membrane
993,Q02487,DSC2,Plasma membrane
994,Q14126,DSG2,Plasma membrane
995,Q14156,EFR3A,Plasma membrane
996,P00533,EGFR,Plasma membrane
997,P29317,EPHA2,Plasma membrane
998,P54760,EPHB4,Plasma membrane
999,Q9UBC2,EPS15L1,Plasma membrane
1000,Q9Y624,F11R,Plasma membrane
1001,Q9Y4F1,FARP1,Plasma membrane
1002,P25445,FAS,Plasma membrane
1003,Q0JRZ9,FCHO2,Plasma membrane
1004,O95466,FMNL1,Plasma membrane
1005,P15328,FOLR1,Plasma membrane
1006,P06241,FYN,Plasma membrane
1007,P54826,GAS1,Plasma membrane
1008,P63092,GNAS,Plasma membrane
1009,Q8IZP9,GPR64,Plasma membrane
1010,Q7Z2K8,GPRIN1,Plasma membrane
1011,P98160,HSPG2,Plasma membrane
1012,P05362,ICAM1,Plasma membrane
1013,P08069,IGF1R,Plasma membrane
1014,Q969P0,IGSF8,Plasma membrane
1015,Q9NPH3,IL1RAP,Plasma membrane
1016,P40189,IL6ST,Plasma membrane
1017,P06213,INSR,Plasma membrane
1018,P46940,IQGAP1,Plasma membrane
1019,P26006,ITGA3,Plasma membrane
1020,P23229,ITGA6,Plasma membrane
1021,P06756,ITGAV,Plasma membrane
1022,P18084,ITGB5,Plasma membrane
1023,Q15811,ITSN1,Plasma membrane
1024,Q96J84,KIRREL,Plasma membrane
1025,P32004,L1CAM,Plasma membrane
1026,Q9NUP9,LIN7C,Plasma membrane
1027,Q8IWT6,LRRC8A,Plasma membrane
1028,Q86X29,LSR,Plasma membrane
1029,O95274,LYPD3,Plasma membrane
1030,P43121,MCAM,Plasma membrane
1031,P08581,MET,Plasma membrane
1032,P08582,MFI2,Plasma membrane
1033,Q04721,NOTCH2,Plasma membrane
1034,P16066,NPR1,Plasma membrane
1035,P17342,NPR3,Plasma membrane
1036,Q9Y639,NPTN,Plasma membrane
1037,P78380,OLR1,Plasma membrane
1038,O75781,PALM,Plasma membrane
1039,O14917,PCDH17,Plasma membrane
1040,O60245,PCDH7,Plasma membrane
1041,Q03405,PLAUR,Plasma membrane
1042,Q9UIW2,PLXNA1,Plasma membrane
1043,O75051,PLXNA2,Plasma membrane
1044,O15031,PLXNB2,Plasma membrane
1045,Q9Y4D7,PLXND1,Plasma membrane
1046,Q12913,PTPRJ,Plasma membrane
1047,Q15262,PTPRK,Plasma membrane
1048,P15151,PVR,Plasma membrane
1049,Q92692,PVRL2,Plasma membrane
1050,Q01974,ROR2,Plasma membrane
1051,Q86UN3,RTN4RL2,Plasma membrane
1052,Q9Y666,SLC12A7,Plasma membrane
1053,P53985,SLC16A1,Plasma membrane
1054,O15427,SLC16A3,Plasma membrane
1055,Q15758,SLC1A5,Plasma membrane
1056,Q99808,SLC29A1,Plasma membrane
1057,P11166,SLC2A1,Plasma membrane
1058,P11169,SLC2A3,Plasma membrane
1059,Q9Y6M5,SLC30A1,Plasma membrane
1060,Q15043,SLC39A14,Plasma membrane
1061,Q13433,SLC39A6,Plasma membrane
1062,P08195,SLC3A2,Plasma membrane
1063,Q8N370,SLC43A2,Plasma membrane
1064,Q9Y6M7,SLC4A7,Plasma membrane
1065,P30825,SLC7A1,Plasma membrane
1066,Q01650,SLC7A5,Plasma membrane
1067,Q96BD0,SLCO4A1,Plasma membrane
1068,O00161,SNAP23,Plasma membrane
1069,Q13277,STX3,Plasma membrane
1070,Q12846,STX4,Plasma membrane
1071,O00186,STXBP3,Plasma membrane
1072,Q03167,TGFBR3,Plasma membrane
1073,Q8TAA9,VANGL1,Plasma membrane
1074,Q9UBH6,XPR1,Plasma membrane
1075,Q9C0B5,ZDHHC5,Plasma membrane
